vehicle,segment_id,start_time,end_time,duration_hours,start_soc,end_soc,delta_soc,avg_current,min_current,max_current,num_samples,integrated_current_ah,estimated_capacity_ah
1,96,401062743.0,401071823.0,2.522222222222222,53.0,98.0,45.0,-74.41472602739726,-130.2,-13.4,292,167.58277777777778,372.40617283950616
1,334,402125929.0,402131708.0,1.6052777777777778,73.0,91.0,18.0,-80.84556962025316,-126.7,-47.7,79,138.87199999999999,771.5111111111111
1,614,403050639.0,403055519.0,1.3555555555555556,73.0,98.0,25.0,-41.985665529010234,-89.2,-27.9,293,57.10611111111111,228.42444444444445
1,1050,403223131.0,404000350.0,215.89416666666668,34.0,95.0,61.0,-55.07869318181818,-92.7,-19.8,352,5171.124583333334,8477.253415300547
1,1576,405012403.0,405021943.0,2.65,21.0,98.0,77.0,-102.60738007380074,-200.2,-13.3,271,258.59388888888884,335.83621933621924
1,2012,407010553.0,407015623.0,1.4083333333333334,28.0,95.0,67.0,-100.25816993464052,-171.5,-37.4,153,153.29166666666666,228.79353233830844
1,2470,407174630.0,407180420.0,1.6083333333333334,36.0,68.0,32.0,-151.7140845070422,-163.8,-130.3,71,218.9466666666667,684.2083333333334
1,2602,407204920.0,407211630.0,1.863888888888889,50.0,88.0,38.0,-117.81666666666668,-161.6,-77.5,108,232.04611111111112,610.6476608187135
1,3106,409004651.0,409012411.0,2.1555555555555554,53.0,95.0,42.0,-87.99014084507044,-126.7,-53.5,142,230.29277777777776,548.3161375661375
1,3482,409205511.0,409212701.0,1.9972222222222222,61.0,90.0,29.0,-75.21458333333332,-97.1,-57.7,96,152.39861111111114,525.5124521072798
1,3780,410052353.0,410055823.0,0.9638888888888889,33.0,86.0,53.0,-128.00576923076926,-168.9,0.6,208,123.82944444444445,233.6404612159329
1,4140,410214426.0,410221626.0,2.0,50.0,91.0,41.0,-107.54132231404958,-159.0,-58.9,121,217.58749999999998,530.701219512195
1,4566,411081809.0,411085929.0,1.1444444444444444,43.0,94.0,51.0,-106.63468208092488,-162.4,3.0,173,116.41666666666667,228.26797385620915
1,4882,411190651.0,411193451.0,0.7777777777777778,53.0,89.0,36.0,-104.32278481012658,-159.3,0.8,79,84.85972222222223,235.72145061728398
1,5008,412015821.0,412022901.0,1.9666666666666666,58.0,93.0,35.0,-96.37298850574712,-121.1,-12.0,174,196.08305555555552,560.2373015873015
1,5364,413053634.0,413060654.0,1.95,61.0,95.0,34.0,-92.41857923497267,-130.1,-18.8,183,164.8083333333333,484.73039215686265
1,5746,414010404.0,414013924.0,0.9777777777777777,53.0,95.0,42.0,-97.88333333333333,-158.3,-42.0,150,93.47,222.54761904761907
1,6432,415145723.0,415153353.0,2.1194444444444445,38.0,81.0,43.0,-98.4544600938967,-120.5,4.4,213,204.44555555555553,475.45478036175706
1,6756,415225927.0,415231737.0,1.613888888888889,62.0,86.0,24.0,-106.5436363636364,-128.8,-42.3,110,196.44083333333333,818.5034722222223
1,6996,416054840.0,416061050.0,1.725,72.0,95.0,23.0,-83.76268656716418,-107.5,0.6,134,139.12111111111113,604.8743961352658
1,7502,416222357.0,416224937.0,0.7166666666666667,56.0,89.0,33.0,-106.0051612903226,-157.7,4.2,155,77.05333333333333,233.49494949494945
1,7828,417072409.0,417074649.0,0.6222222222222222,62.0,90.0,28.0,-101.90218978102192,-130.2,-0.6,137,63.785555555555554,227.80555555555551
1,8634,419211405.0,419215605.0,1.1666666666666667,45.0,94.0,49.0,-97.15494071146246,-159.9,-36.8,253,113.10361111111112,230.82369614512473
1,9232,420141522.0,420150432.0,2.475,46.0,94.0,48.0,-81.33661016949154,-136.9,-11.1,295,145.09444444444443,302.2800925925926
1,9644,421063724.0,421071044.0,2.033333333333333,46.0,88.0,42.0,-105.66268656716419,-121.1,-11.3,201,230.16527777777776,548.0125661375661
1,10062,421132457.0,421135437.0,0.8277777777777777,58.0,92.0,34.0,-96.83519553072625,-155.2,-41.8,179,80.34444444444443,236.30718954248363
1,10516,422132727.0,422140257.0,2.091666666666667,60.0,96.0,36.0,-83.40327102803737,-132.9,-13.9,214,97.87638888888888,271.87885802469134
1,11270,423082436.0,423085856.0,0.95,51.0,88.0,37.0,-90.2096618357488,-112.6,3.2,207,86.33805555555554,233.34609609609606
1,11918,423222504.0,423225344.0,0.7888888888888889,35.0,82.0,47.0,-134.12890173410406,-163.0,3.7,173,105.49583333333334,224.45921985815605
1,12224,424023406.0,424025456.0,0.5694444444444444,64.0,90.0,26.0,-101.64206349206347,-130.1,-40.1,126,58.09333333333334,223.43589743589746
1,12552,424142238.0,424144548.0,0.6416666666666667,74.0,96.0,22.0,-82.39071428571427,-122.5,-58.6,140,52.685833333333335,239.48106060606062
1,13596,426110751.0,426115221.0,1.2416666666666667,20.0,89.0,69.0,-126.01455223880598,-174.6,3.6,268,157.15583333333333,227.762077294686
1,13952,427150515.0,427153105.0,0.7194444444444444,69.0,96.0,27.0,-87.06282051282052,-130.0,-49.7,156,62.87805555555556,232.88168724279836
1,14566,428100742.0,428104802.0,1.1277777777777778,40.0,95.0,55.0,-111.42592592592592,-163.8,0.7,243,125.89333333333335,228.8969696969697
1,15116,428211755.0,428215335.0,0.9944444444444445,44.0,92.0,48.0,-110.32651162790697,-163.5,-44.3,215,110.61194444444445,230.44155092592595
1,15758,430014351.0,430022441.0,2.2472222222222222,42.0,92.0,50.0,-102.35040650406505,-163.4,0.6,246,260.72555555555556,521.4511111111111
1,16572,430223008.0,430230018.0,1.9472222222222222,29.0,80.0,51.0,-139.31208791208792,-186.0,-52.2,182,200.8383333333333,393.8006535947712
2,84,401062007.0,401071947.0,2.761111111111111,5.0,95.0,90.0,-121.55971014492754,-188.6,-13.3,345,328.82000000000005,365.3555555555556
2,736,403053009.0,403060119.0,1.975,30.0,81.0,51.0,-128.09148936170214,-158.9,-44.5,188,195.27861111111116,382.89923747276697
2,806,403064257.0,403070317.0,1.6833333333333333,78.0,97.0,19.0,-77.14134615384616,-118.8,0.4,104,105.8472222222222,557.0906432748537
2,1368,404042519.0,404050309.0,2.1638888888888888,50.0,95.0,45.0,-95.67763157894738,-131.2,-43.0,228,163.59972222222223,363.55493827160495
2,1866,404162035.0,404162455.0,0.11666666666666667,18.0,28.0,10.0,-184.26000000000005,-199.3,-158.5,15,21.613055555555555,216.13055555555553
2,1906,405072400.0,405081140.0,2.4277777777777776,27.0,94.0,67.0,-117.4852380952381,-172.8,-54.4,210,227.74583333333334,339.9191542288557
2,2308,406051139.0,406055209.0,1.1305555555555555,40.0,94.0,54.0,-105.83401639344262,-158.5,-21.4,244,119.79694444444446,221.84619341563788
2,2828,407055056.0,407063606.0,2.375,28.0,92.0,64.0,-108.48119658119657,-157.4,-55.2,234,282.18666666666667,440.9166666666667
2,3338,408050903.0,408060403.0,2.638888888888889,12.0,94.0,82.0,-118.06948640483384,-183.3,0.6,331,242.50444444444446,295.73712737127374
2,3976,410043342.0,410052621.0,2.5775,18.0,95.0,77.0,-114.81798107255521,-188.0,-56.1,317,308.6314166666666,400.82002164502154
2,4176,410123058.0,410125348.0,0.6361111111111111,42.0,77.0,35.0,-122.22608695652175,-131.2,0.5,92,78.18138888888889,223.37539682539685
2,4402,411054858.0,411064428.0,2.658333333333333,13.0,96.0,83.0,-118.83999999999999,-198.8,-13.9,330,359.80111111111114,433.4953145917002
2,4942,412043659.0,412044339.0,0.18888888888888888,38.0,51.0,13.0,-152.5707317073171,-158.3,0.2,41,29.083333333333332,223.7179487179487
2,5002,412051840.0,412054140.0,0.6388888888888888,44.0,81.0,37.0,-129.5978417266187,-158.9,-0.2,139,83.41527777777777,225.44669669669668
2,5054,412062230.0,412063700.0,0.4083333333333333,79.0,93.0,14.0,-78.78636363636365,-117.8,-28.9,88,32.176388888888894,229.83134920634922
2,5584,413051623.0,413060403.0,2.438888888888889,26.0,95.0,69.0,-114.60139372822302,-182.9,-55.1,287,213.53722222222223,309.4742351046699
2,6060,413143207.0,413143737.0,0.14722222222222223,36.0,47.0,11.0,-159.87391304347827,-183.2,-153.4,23,23.28555555555555,211.68686868686865
2,6092,414041301.0,414044641.0,0.9277777777777778,49.0,93.0,44.0,-105.84926108374385,-157.7,-56.0,203,98.17138888888888,223.11679292929293
2,6834,414184325.0,414184825.0,0.1388888888888889,5.0,17.0,12.0,-190.672,-198.8,-59.0,25,27.20388888888889,226.6990740740741
2,6884,415042650.0,415050600.0,2.2083333333333335,15.0,83.0,68.0,-138.175,-198.4,-60.3,236,281.6994444444444,414.2638888888888
2,6926,415053456.0,415054726.0,0.3527777777777778,81.0,93.0,12.0,-76.52894736842104,-119.3,0.7,76,27.288055555555555,227.40046296296296
2,7842,415151851.0,415152621.0,0.21388888888888888,12.0,30.0,18.0,-184.3891304347826,-198.5,-98.4,46,39.93416666666667,221.8564814814815
2,8030,417041204.0,417041934.0,0.20277777777777778,13.0,29.0,16.0,-174.79347826086956,-194.8,-105.5,46,35.64277777777777,222.7673611111111
2,8094,417045404.0,417050644.0,1.4555555555555555,24.0,49.0,25.0,-157.92207792207793,-198.9,0.8,77,230.8386111111111,923.3544444444444
2,8272,417063706.0,417070136.0,1.7861111111111112,32.0,73.0,41.0,-133.90675675675675,-157.7,0.6,148,222.6466666666667,543.0406504065041
2,8848,417154859.0,417155709.0,0.2361111111111111,11.0,24.0,13.0,-119.57,-120.0,-117.5,50,28.239444444444445,217.22649572649573
2,8958,418044329.0,418054029.0,2.6944444444444446,13.0,95.0,82.0,-114.94460641399417,-164.4,-56.3,343,355.1836111111111,433.15074525745257
2,9542,419041134.0,419042904.0,0.49166666666666664,44.0,73.0,29.0,-133.29905660377358,-158.1,-33.9,106,65.90277777777777,227.25095785440612
2,9576,419044943.0,419045523.0,0.16111111111111112,73.0,81.0,8.0,-114.56285714285713,-118.6,-26.2,35,18.955277777777777,236.9409722222222
2,10330,421042946.0,421052506.0,2.6555555555555554,10.0,95.0,85.0,-122.10540540540542,-199.1,-55.1,333,320.2080555555556,376.7153594771242
2,11262,422061340.0,422070020.0,2.411111111111111,30.0,95.0,65.0,-110.13024911032029,-181.8,-36.5,281,205.89083333333332,316.7551282051282
2,11508,423065446.0,423071616.0,1.7138888888888888,74.0,95.0,21.0,-79.45153846153846,-120.2,-34.5,130,130.48277777777778,621.3465608465609
2,12042,423151143.0,423152913.0,0.49166666666666664,37.0,68.0,31.0,-144.0304761904762,-184.5,0.7,105,71.64083333333335,231.09946236559145
2,12204,424065401.0,424074301.0,2.4722222222222223,21.0,95.0,74.0,-118.0122033898305,-199.8,-19.1,295,337.26472222222225,455.7631381381382
2,12696,424130812.0,424133922.0,0.8638888888888889,58.0,95.0,37.0,-93.63936170212764,-153.6,0.7,188,81.11472222222221,219.22897897897894
2,13000,425051030.0,425054220.0,0.8861111111111111,59.0,91.0,32.0,-82.80833333333334,-119.7,0.5,192,73.7425,230.44531250000003
2,13968,426050530.0,426055620.0,1.413888888888889,30.0,95.0,65.0,-101.77875816993463,-154.4,0.5,306,144.76111111111112,222.7094017094017
2,14222,426122721.0,426124411.0,0.46944444444444444,38.0,68.0,30.0,-141.50882352941176,-159.2,0.5,102,67.30666666666667,224.35555555555558
2,14412,427052507.0,427061907.0,2.611111111111111,13.0,95.0,82.0,-117.73169230769231,-170.9,-9.4,325,308.0083333333333,375.619918699187
2,15512,428044110.0,428050210.0,1.6944444444444444,15.0,56.0,41.0,-156.25118110236224,-169.2,-110.8,127,261.7052777777777,638.3055555555554
2,15514,428050421.0,428050621.0,0.05555555555555555,56.0,59.0,3.0,-127.25384615384615,-152.7,-124.8,13,6.953333333333334,
2,15620,428060437.0,428064047.0,1.0027777777777778,50.0,95.0,45.0,-98.3059633027523,-154.2,-40.8,218,99.3125,220.69444444444443
2,16406,429053101.0,429054421.0,0.36666666666666664,32.0,57.0,25.0,-154.59012345679014,-183.1,-125.0,81,56.457499999999996,225.82999999999998
2,16444,429060134.0,429061914.0,0.49444444444444446,56.0,82.0,26.0,-115.05327102803737,-155.0,-19.0,107,56.99027777777778,219.19337606837607
2,16514,429070134.0,429071944.0,0.5027777777777778,75.0,94.0,19.0,-82.98363636363635,-119.3,-56.7,110,41.75694444444444,219.7733918128655
2,17286,430050400.0,430055440.0,1.4,21.0,95.0,74.0,-114.72459016393442,-185.9,-56.0,305,160.31583333333333,216.643018018018
2,17986,430140629.0,430142049.0,0.39444444444444443,27.0,56.0,29.0,-157.8896551724138,-176.1,-92.0,87,62.60111111111112,215.86590038314182
3,38,401003755.0,401012235.0,2.3555555555555556,28.0,81.0,53.0,-111.25487179487178,-168.0,-40.2,195,298.1252777777778,562.5005241090147
3,408,402013302.0,402022001.0,2.4163888888888887,45.0,94.0,49.0,-91.11323529411766,-167.9,0.7,204,186.28275000000002,380.16887755102044
3,994,403010810.0,403020010.0,2.5555555555555554,33.0,94.0,61.0,-110.62631578947368,-198.9,0.7,228,209.8852777777778,344.0742258652095
3,1258,404014542.0,404021842.0,2.0277777777777777,66.0,94.0,28.0,-81.72333333333334,-129.6,-56.6,180,136.19166666666666,486.39880952380946
3,1748,405031633.0,405041143.0,2.6416666666666666,28.0,94.0,66.0,-110.28915662650603,-200.0,-24.1,332,232.79083333333335,352.71338383838383
3,2184,406013708.0,406023028.0,2.588888888888889,28.0,94.0,66.0,-110.74335443037972,-198.8,0.8,316,309.31027777777774,468.65193602693597
3,2378,407000024.0,407001944.0,0.5333333333333333,38.0,54.0,16.0,-80.4,-80.9,-71.5,52,42.970000000000006,268.56250000000006
3,2472,407035611.0,407044901.0,2.5805555555555557,30.0,94.0,64.0,-106.18279069767443,-199.7,0.6,215,379.9566666666667,593.6822916666667
3,3072,408014015.0,408024053.0,2.7883333333333336,17.0,94.0,77.0,-110.78757763975155,-196.5,0.5,161,352.4622222222222,457.7431457431457
3,3302,408184644.0,408185254.0,0.16944444444444445,75.0,82.0,7.0,-82.68571428571428,-104.0,0.4,14,14.645833333333334,209.22619047619045
3,3304,408185806.0,408191826.0,1.6722222222222223,82.0,95.0,13.0,-55.525000000000006,-87.6,0.7,68,94.80277777777778,729.2521367521367
3,3592,409024715.0,409032335.0,2.1166666666666667,62.0,95.0,33.0,-80.7545,-130.1,0.3,200,207.5033333333333,628.7979797979797
3,4050,410023913.0,410033503.0,2.6638888888888888,24.0,94.0,70.0,-110.55938461538463,-198.8,0.1,325,318.0777777777778,454.3968253968254
3,4474,411011602.0,411020322.0,2.422222222222222,50.0,95.0,45.0,-83.30822510822512,-165.4,-36.3,231,179.1602777777778,398.133950617284
3,4922,412014909.0,412023939.0,2.5083333333333333,37.0,94.0,57.0,-100.79194139194139,-195.0,-49.1,273,306.22555555555556,537.2378167641326
3,5340,413020014.0,413025224.0,1.4472222222222222,30.0,95.0,65.0,-100.84497991967872,-199.7,3.9,249,158.05083333333334,243.15512820512822
3,5862,414013652.0,414023002.0,2.5972222222222223,34.0,94.0,60.0,-100.24410646387834,-174.3,0.8,263,276.99805555555554,461.66342592592594
3,6248,414193416.0,414200256.0,1.9,61.0,90.0,29.0,-94.43872832369944,-147.0,-26.5,173,137.4336111111111,473.90900383141764
3,6822,415033507.0,415033647.0,0.03888888888888889,41.0,44.0,3.0,-155.63636363636365,-172.9,-96.8,11,6.251111111111111,
3,6824,415034741.0,415034921.0,0.05,44.0,47.0,3.0,-163.74545454545455,-198.5,-65.9,11,8.94361111111111,
3,6828,415040533.0,415050253.0,2.7,49.0,95.0,46.0,-70.53536231884058,-147.9,-36.7,345,175.61972222222224,381.7820048309179
3,7540,415200140.0,415205340.0,1.4444444444444444,16.0,83.0,67.0,-117.51246006389776,-150.5,-39.1,313,170.58972222222224,254.61152570480928
3,7844,416020030.0,416025340.0,1.475,48.0,94.0,46.0,-78.89562500000001,-102.7,-50.0,320,116.6061111111111,253.49154589371977
3,8206,416180507.0,416183137.0,0.7305555555555555,52.0,84.0,32.0,-118.1575,-190.1,-56.6,160,86.23194444444444,269.47482638888886
3,8810,417012525.0,417020915.0,2.3305555555555557,47.0,94.0,47.0,-98.15984848484848,-171.4,-49.8,264,182.80333333333334,388.9432624113476
3,9442,417193417.0,417201057.0,2.1222222222222222,31.0,85.0,54.0,-132.7660633484163,-196.1,-43.6,221,259.4216666666666,480.4104938271604
3,9654,418002948.0,418010048.0,1.9722222222222223,68.0,95.0,27.0,-74.91818181818182,-129.0,-25.8,187,117.7647222222222,436.1656378600822
3,10266,419023109.0,419032809.0,2.6944444444444446,23.0,94.0,71.0,-112.17026239067056,-176.6,0.8,343,301.48,424.6197183098592
3,11050,419234027.0,420004836.0,214.1136111111111,22.0,87.0,65.0,-85.64243902439023,-163.2,-16.3,410,25904.997444444445,39853.84222222222
3,11280,420042751.0,420052321.0,2.658333333333333,59.0,99.0,40.0,-62.20449101796408,-134.0,-33.3,334,137.63555555555558,344.08888888888896
3,11908,420192849.0,420211229.0,5.105555555555555,20.0,99.0,79.0,-67.04074074074074,-125.1,-16.2,621,321.8991666666667,407.4672995780591
3,12202,421033935.0,421041705.0,2.158333333333333,59.0,95.0,36.0,-88.30309734513274,-147.2,4.0,226,155.85666666666668,432.9351851851853
3,12916,422013831.0,422023731.0,2.75,19.0,94.0,75.0,-114.28788732394365,-199.9,0.7,355,349.8947222222222,466.52629629629627
3,13720,422195018.0,422205728.0,2.975,11.0,95.0,84.0,-111.19975247524752,-197.1,1.0,404,426.17027777777776,507.34556878306876
3,13962,423000032.0,423001632.0,0.4444444444444444,83.0,95.0,12.0,-56.20412371134021,-56.9,-27.9,97,25.032777777777778,208.6064814814815
3,14812,424002638.0,424013638.0,3.0555555555555554,23.0,95.0,72.0,-93.06365795724466,-151.4,-31.0,421,273.6044444444444,380.0061728395062
3,15472,424192117.0,424200957.0,2.4555555555555557,35.0,91.0,56.0,-107.0911262798635,-150.3,-56.8,293,207.53249999999997,370.5937499999999
3,16020,425115238.0,425125118.0,2.7444444444444445,35.0,95.0,60.0,-90.72011331444759,-200.0,0.7,353,295.8836111111111,493.13935185185187
3,16920,426005423.0,426014553.0,2.536111111111111,34.0,94.0,60.0,-104.84548387096774,-200.0,-13.7,310,335.1588888888889,558.5981481481482
3,17436,426220801.0,426223741.0,0.8166666666666667,51.0,87.0,36.0,-108.24245810055865,-170.7,-49.1,179,88.8386111111111,246.7739197530864
3,18226,427173525.0,427183535.0,2.7805555555555554,15.0,89.0,74.0,-111.09226519337015,-177.4,-45.4,362,332.09666666666664,448.77927927927925
3,18528,428001802.0,428005402.0,1.0,60.0,95.0,35.0,-86.06774193548388,-146.6,-24.3,217,86.1288888888889,246.0825396825397
3,19184,429011807.0,429020747.0,2.4833333333333334,35.0,90.0,55.0,-100.72508361204014,-189.3,-48.0,299,199.89999999999998,363.4545454545454
3,19664,429130641.0,429135521.0,1.3555555555555556,41.0,95.0,54.0,-98.28293515358361,-151.1,-49.1,293,132.92777777777775,246.16255144032914
3,20384,430004332.0,430013232.0,2.4722222222222223,38.0,95.0,57.0,-104.36101694915254,-199.3,-48.7,295,283.2197222222222,496.8767056530214
4,222,401032927.0,401041607.0,2.411111111111111,22.0,88.0,66.0,-125.49608540925267,-199.0,-36.9,281,282.74888888888887,428.40740740740733
4,488,401123507.0,401132317.0,2.4472222222222224,53.0,97.0,44.0,-78.20604395604396,-152.3,-28.7,182,169.38361111111112,384.96275252525254
4,874,401223934.0,401231934.0,2.2222222222222223,40.0,89.0,49.0,-108.23904109589041,-173.7,3.7,146,241.42138888888888,492.6967120181406
4,1288,402224615.0,402231245.0,1.8416666666666666,27.0,72.0,45.0,-146.9917355371901,-175.1,-106.9,121,264.0436111111111,586.7635802469135
4,1772,403045802.0,403055952.0,2.8194444444444446,15.0,96.0,81.0,-113.53360215053763,-199.2,0.5,372,414.665,511.9320987654321
4,1868,403125050.0,403133630.0,2.3833333333333333,64.0,99.0,35.0,-69.14356435643565,-124.2,-12.1,202,206.4677777777778,589.9079365079366
4,2270,403193204.0,403200824.0,2.1166666666666667,48.0,90.0,42.0,-110.81851851851853,-171.5,-54.3,108,163.71083333333334,389.78769841269843
4,2570,404010605.0,404012535.0,0.5361111111111111,51.0,79.0,28.0,-124.85631067961165,-180.6,-99.6,103,66.88138888888888,238.8621031746031
4,2580,404134058.0,404135858.0,0.5,79.0,92.0,13.0,-59.72580645161288,-85.2,-54.8,93,29.604722222222218,227.72863247863245
4,2802,404215107.0,404222937.0,2.175,57.0,95.0,38.0,-84.88984375000001,-140.5,-1.6,128,229.98833333333334,605.2324561403509
4,3176,405033813.0,405042823.0,2.5027777777777778,50.0,99.0,49.0,-84.25827814569537,-179.3,-22.6,302,236.6386111111111,482.93594104308386
4,3296,405130513.0,405132953.0,0.6777777777777778,72.0,92.0,20.0,-82.75168539325843,-125.4,-36.2,89,51.44694444444445,257.2347222222222
4,3730,405234658.0,406005748.0,214.19166666666666,11.0,98.0,87.0,-100.15904761904761,-182.8,-14.9,315,38986.04694444443,44811.548212005095
4,3954,406133700.0,406141750.0,2.236111111111111,54.0,92.0,38.0,-89.56862745098039,-167.5,0.9,153,148.01277777777779,389.5073099415205
